date,home_team,away_team,team,scorer,minute,own_goal,penalty
1964-11-04,Italy,Finland,Italy,Sandro Mazzola,83.0,False,False
2004-05-15,Tonga,Cook Islands,Tonga,Mark Uhatahi,46.0,False,False
1994-12-17,Belgium,Spain,Spain,Fernando Hierro,29.0,False,False
2006-01-30,Tunisia,Guinea,Guinea,Ousmane Bangoura,16.0,False,False
1973-11-27,Austria,Sweden,Sweden,Roland Sandberg,12.0,False,False
2000-07-23,Costa Rica,United States,Costa Rica,Hernán Medford,90.0,False,True
2014-11-14,Romania,Northern Ireland,Romania,Paul Papp,79.0,False,False
1957-11-10,Hungary,Norway,Hungary,Ferenc Machos,69.0,False,False
1970-06-06,Czechoslovakia,Romania,Romania,Florea Dumitrache,75.0,False,True
1989-06-11,Japan,Indonesia,Japan,Kenta Hasegawa,24.0,False,False
2016-03-25,El Salvador,Honduras,El Salvador,Nelson Bonilla,88.0,False,False
2004-08-03,Bahrain,Japan,Japan,Keiji Tamada,93.0,False,False
1972-05-17,Thailand,South Korea,South Korea,Park Lee-chun,115.0,False,False
1988-06-17,Germany,Spain,Germany,Rudi Völler,51.0,False,False
2017-03-25,Luxembourg,France,Luxembourg,Aurélien Joachim,34.0,False,True
1987-04-29,Wales,Czechoslovakia,Czechoslovakia,Ivo Knoflíček,74.0,False,False
1970-06-10,El Salvador,Russia,Russia,Anatoliy Byshovets,74.0,False,False
2019-06-08,Belarus,Germany,Germany,Marco Reus,62.0,False,False
2010-10-12,Iceland,Portugal,Portugal,Hélder Postiga,72.0,False,False
1929-11-01,Paraguay,Uruguay,Paraguay,Aurelio González,16.0,False,False
1967-10-11,German DR,Denmark,German DR,Herbert Pankau,73.0,False,False
1999-07-10,Paraguay,Uruguay,Uruguay,Marcelo Zalayeta,65.0,False,False
1965-02-21,Costa Rica,Trinidad and Tobago,Costa Rica,Leonel Hernández,50.0,False,False
1987-11-11,Bulgaria,Scotland,Scotland,Gary Mackay,86.0,False,False
2016-03-24,Saudi Arabia,Malaysia,Saudi Arabia,Mohammad Al-Sahlawi,50.0,False,False
2004-07-30,Uzbekistan,Bahrain,Uzbekistan,Alexander Geynrikh,60.0,False,False
1994-07-09,Italy,Spain,Italy,Dino Baggio,25.0,False,False
1963-03-28,Bolivia,Argentina,Argentina,Mario Rodríguez,27.0,False,False
1998-10-14,San Marino,Austria,Austria,Christian Mayrleb,64.0,False,False
1989-03-23,Spain,Malta,Spain,Míchel,68.0,False,True
2016-06-05,Mexico,Uruguay,Mexico,Álvaro Pereira,4.0,True,False
1961-11-04,Italy,Israel,Italy,Mario Corso,59.0,False,False
2009-09-05,Scotland,North Macedonia,Scotland,James McFadden,80.0,False,False
1958-06-24,Brazil,France,France,Just Fontaine,9.0,False,False
1989-02-27,Bangladesh,Iran,Iran,Karim Bavi,44.0,False,False
2011-07-23,China PR,Laos,Laos,Visay Phaphouvanin,31.0,False,False
1923-10-29,Argentina,Paraguay,Paraguay,Gerardo Rivas,10.0,False,False
1985-04-13,Brunei,Macau,Brunei,Ahmed Rahim,,False,False
1979-11-22,England,Bulgaria,England,Glenn Hoddle,68.0,False,False
1986-06-08,Germany,Scotland,Germany,Klaus Allofs,49.0,False,False
2001-03-24,Armenia,Wales,Armenia,Arthur Minasyan,39.0,False,False
1996-09-01,Latvia,Sweden,Sweden,Martin Dahlin,16.0,False,False
1972-03-05,Congo,Mali,Congo,Jean-Michel M'Bono,59.0,False,False
1998-02-09,Ghana,Tunisia,Ghana,Alex Nyarko,8.0,False,False
2015-11-17,Singapore,Syria,Syria,Omar Khribin,20.0,False,False
1979-06-02,Malta,Wales,Wales,Brian Flynn,51.0,False,False
2001-09-05,Cyprus,Portugal,Cyprus,Michalis Konstantinou,25.0,False,False
2022-02-01,Brazil,Paraguay,Brazil,Raphinha,28.0,False,False
2009-10-14,Romania,Faroe Islands,Romania,Ionuţ Mazilu,87.0,False,False
2001-09-01,Andorra,Portugal,Portugal,Sérgio Conceição,58.0,False,False
2008-06-08,Eswatini,Togo,Togo,Adékambi Olufadé,88.0,False,False
1990-09-12,Northern Ireland,Yugoslavia,Yugoslavia,Darko Pančev,36.0,False,False
1981-05-27,Czechoslovakia,Iceland,Czechoslovakia,Antonín Panenka,44.0,False,True
2019-06-10,Czech Republic,Montenegro,Czech Republic,Boris Kopitović,49.0,True,False
1958-06-08,Hungary,Wales,Hungary,József Bozsik,5.0,False,False
1985-05-18,German DR,Luxembourg,Luxembourg,Robby Langers,76.0,False,False
2000-03-04,Trinidad and Tobago,Curaçao,Trinidad and Tobago,Angus Eve,57.0,False,False
2017-06-11,Serbia,Wales,Wales,Aaron Ramsey,35.0,False,True
2011-11-15,Curaçao,United States Virgin Islands,United States Virgin Islands,Keithroy Cornelius,51.0,False,False
2021-06-02,Puerto Rico,Bahamas,Puerto Rico,Isaac Angking,31.0,False,False
2000-03-04,Trinidad and Tobago,Curaçao,Trinidad and Tobago,Arnold Dwarika,63.0,False,False
2008-05-31,Malawi,Djibouti,Malawi,Essau Kanyenda,48.0,False,False
1993-06-19,Portugal,Malta,Portugal,António Nogueira,1.0,False,False
1991-06-05,Switzerland,San Marino,Switzerland,Adrian Knup,3.0,False,False
2010-06-19,Ghana,Australia,Australia,Brett Holman,11.0,False,False
2005-10-12,Lithuania,Belgium,Lithuania,Olivier Deschacht,82.0,True,False
2002-01-29,Cameroon,Togo,Cameroon,Lucien Mettomo,52.0,False,False
2011-10-11,Antigua and Barbuda,United States Virgin Islands,Antigua and Barbuda,Jamie Thomas,86.0,False,False
2013-09-06,Costa Rica,United States,Costa Rica,Celso Borges,9.0,False,False
2016-03-29,Colombia,Ecuador,Colombia,Sebastián Pérez Cardona,48.0,False,False
2005-06-21,Australia,Tunisia,Tunisia,Francileudo Santos,70.0,False,False
1965-04-24,Germany,Cyprus,Germany,Klaus-Dieter Sieloff,35.0,False,False
2011-11-11,Eswatini,DR Congo,DR Congo,Dioko Kaluyituka,18.0,False,False
2001-04-24,Venezuela,Colombia,Colombia,Víctor Bonilla,88.0,False,False
2021-11-16,Libya,Angola,Angola,Zini,81.0,False,False
1997-02-11,Ecuador,Uruguay,Ecuador,Agustín Delgado,76.0,False,False
1978-09-20,Denmark,England,England,Kevin Keegan,23.0,False,False
2009-10-10,Cameroon,Togo,Cameroon,Jean Makoun,46.0,False,False
2003-09-10,Albania,Georgia,Albania,Alban Bushi,80.0,False,False
1995-04-26,Croatia,Slovenia,Croatia,Davor Šuker,90.0,False,False
1980-09-25,Kuwait,Qatar,Kuwait,Jasem Yaqoub,50.0,False,True
2000-11-24,Iran,Guam,Iran,Farhad Majidi,79.0,False,False
2006-09-02,Poland,Finland,Poland,Łukasz Garguła,89.0,False,False
2004-06-17,England,Switzerland,England,Steven Gerrard,82.0,False,False
2021-07-02,Peru,Paraguay,Paraguay,Gabriel Ávalos,90.0,False,False
2019-06-29,Haiti,Canada,Canada,Jonathan David,18.0,False,False
1997-09-27,Uzbekistan,United Arab Emirates,United Arab Emirates,Zuhair Bakheet,51.0,False,False
2017-11-15,Peru,New Zealand,Peru,Christian Ramos,65.0,False,False
1995-07-07,Brazil,Ecuador,Brazil,Ronaldo Rodrigues de Jesus,73.0,False,False
2000-03-19,Nicaragua,Panama,Panama,Mario Méndez,5.0,False,False
2001-02-09,Kyrgyzstan,Kuwait,Kuwait,Khalaf Al-Mutairi,90.0,False,False
2015-06-14,Guyana,Saint Vincent and the Grenadines,Guyana,Emery Welshman,77.0,False,False
2010-10-08,Czech Republic,Scotland,Czech Republic,Roman Hubník,69.0,False,False
1955-03-13,Ecuador,Peru,Peru,Óscar Gómez Sánchez,11.0,False,False
2021-09-02,Mexico,Jamaica,Mexico,Alexis Vega,50.0,False,False
2005-03-26,Senegal,Liberia,Senegal,El Hadji Diouf,45.0,False,True
1973-05-20,Vietnam Republic,Japan,Japan,Kunishige Kamamoto,6.0,False,False
2009-06-17,Bahrain,Uzbekistan,Bahrain,Mahmood Abdulrahman,73.0,False,False
1990-12-19,Spain,Albania,Spain,Emilio Butragueño,57.0,False,False
2017-01-23,Zimbabwe,Tunisia,Tunisia,Wahbi Khazri,45.0,False,True
1926-11-03,Chile,Paraguay,Paraguay,Luis Vargas Peña,40.0,False,False
2021-11-13,Turkey,Gibraltar,Turkey,Halil Dervişoğlu,41.0,False,False
1945-02-21,Brazil,Ecuador,Brazil,Zizinho,65.0,False,False
1965-08-17,Argentina,Bolivia,Argentina,Raúl Bernao,3.0,False,False
2011-09-06,Italy,Slovenia,Italy,Giampaolo Pazzini,85.0,False,False
2017-03-24,Spain,Israel,Spain,Vitolo,45.0,False,False
2019-10-10,Croatia,Hungary,Croatia,Luka Modrić,5.0,False,False
1972-10-07,Luxembourg,Italy,Italy,Fabio Capello,62.0,False,False
1982-06-22,Poland,Peru,Poland,Włodzimierz Ciołek,76.0,False,False
2010-11-17,Finland,San Marino,Finland,Mika Väyrynen,39.0,False,False
1998-09-02,Romania,Liechtenstein,Romania,Gheorghe Popescu,18.0,False,False
1967-01-25,Argentina,Venezuela,Argentina,Juan Carlos Carone,26.0,False,False
2021-09-07,Republic of Ireland,Serbia,Republic of Ireland,Nikola Milenković,87.0,True,False
1975-08-20,Peru,Chile,Peru,Teófilo Cubillas,39.0,False,False
2013-03-22,Austria,Faroe Islands,Austria,György Garics,82.0,False,False
2004-06-04,New Zealand,Tahiti,New Zealand,Ryan Nelsen,87.0,False,False
2020-10-13,Venezuela,Paraguay,Paraguay,Gastón Giménez,85.0,False,False
1983-11-16,Republic of Ireland,Malta,Republic of Ireland,Kevin O'Callaghan,35.0,False,False
2007-11-17,Spain,Sweden,Spain,Sergio Ramos,65.0,False,False
1991-11-13,Austria,Yugoslavia,Yugoslavia,Vladan Lukić,18.0,False,False
2012-09-11,New Zealand,Solomon Islands,New Zealand,Chris Killen,53.0,False,False
2021-09-03,Tunisia,Equatorial Guinea,Tunisia,Dylan Bronn,54.0,False,False
2006-09-02,Germany,Republic of Ireland,Germany,Lukas Podolski,57.0,False,False
1980-02-28,Australia,Vanuatu,Australia,Eddie Krncevic,,False,False
1993-07-18,Costa Rica,Martinique,Costa Rica,Juan Cayasso,87.0,False,False
2001-07-21,Algeria,Egypt,Egypt,Mido,60.0,False,True
2011-11-11,Dominican Republic,Cayman Islands,Dominican Republic,Jack Michael Morillo,79.0,False,False
2004-08-18,Jamaica,United States,Jamaica,Ian Goodison,49.0,False,False
2003-04-02,Poland,San Marino,Poland,Marcin Kuźba,90.0,False,False
1958-06-08,Argentina,Germany,Germany,Uwe Seeler,42.0,False,False
2022-02-02,Jamaica,Costa Rica,Costa Rica,Joel Campbell,62.0,False,False
1976-06-08,Iran,Yemen DPR,Iran,Nasser Nouraei,42.0,False,False
1967-11-22,Czechoslovakia,Republic of Ireland,Republic of Ireland,Ray Treacy,63.0,False,False
2021-09-04,Netherlands,Montenegro,Netherlands,Cody Gakpo,76.0,False,False
1934-03-18,Mexico,Cuba,Cuba,Mario López,15.0,False,False
1993-05-01,Macau,Saudi Arabia,Saudi Arabia,Sami Al-Jaber,12.0,False,False
1954-06-16,Brazil,Mexico,Brazil,Baltazar,23.0,False,False
2000-04-23,Guinea,Uganda,Guinea,Titi Camara,47.0,False,False
2021-11-16,Algeria,Burkina Faso,Burkina Faso,Issoufou Dayo,84.0,False,True
1965-10-27,Denmark,Greece,Greece,Giorgos Sideris,45.0,False,False
2004-10-12,Australia,Solomon Islands,Australia,Ante Milicic,5.0,False,False
2002-07-07,New Zealand,Papua New Guinea,New Zealand,Chris Killen,28.0,False,False
2011-09-02,Northern Ireland,Serbia,Serbia,Marko Pantelić,67.0,False,False
2009-06-06,Belarus,Andorra,Belarus,Sergei Kornilenko,50.0,False,False
1999-03-27,Hungary,Liechtenstein,Hungary,Vilmos Sebők,33.0,False,False
2016-09-04,Malta,Scotland,Scotland,Steven Fletcher,78.0,False,False
2019-11-14,Syria,China PR,Syria,Osama Omari,19.0,False,False
1961-11-23,Spain,Morocco,Morocco,Sellam Riahi,40.0,False,False
2013-07-13,United States,Cuba,United States,Joe Corona,57.0,False,False
1973-12-09,DR Congo,Morocco,DR Congo,Mbungu Ekofa,79.0,False,False
1981-06-21,Chile,Paraguay,Chile,Patricio Yáñez,11.0,False,False
2016-03-29,Palestine,Timor-Leste,Palestine,Abdelatif Bahdari,90.0,False,False
2004-06-20,Costa Rica,Cuba,Cuba,Alain Cervantes,45.0,False,False
1991-09-11,Switzerland,Scotland,Switzerland,Heinz Hermann,38.0,False,False
1989-01-20,United Arab Emirates,Pakistan,United Arab Emirates,Abdul Razaq Ibrahim,1.0,False,False
2019-06-11,Belgium,Scotland,Belgium,Romelu Lukaku,57.0,False,False
1934-03-11,Mexico,Cuba,Mexico,Dionisio Mejía,40.0,False,False
1977-10-30,Hong Kong,Australia,Hong Kong,Tang Hung Cheong,65.0,False,False
2001-05-07,Oman,Philippines,Oman,Hani Al-Dhabit,81.0,False,False
2004-10-09,Slovakia,Latvia,Latvia,Māris Verpakovskis,3.0,False,False
1994-06-28,Russia,Cameroon,Russia,Oleg Salenko,44.0,False,True
2000-10-09,Canada,Panama,Canada,Jim Brennan,82.0,False,False
2013-01-26,Ivory Coast,Tunisia,Ivory Coast,Didier Ya Konan,90.0,False,False
2008-06-22,Lebanon,Singapore,Lebanon,Baihakki Khaizan,62.0,True,False
2015-10-08,Singapore,Afghanistan,Singapore,Khairul Amri,72.0,False,False
2010-09-07,Turkey,Belgium,Turkey,Hamit Altıntop,48.0,False,False
1982-10-06,Czechoslovakia,Sweden,Sweden,Ulf Eriksson,90.0,False,False
2007-10-17,France,Lithuania,France,Thierry Henry,80.0,False,False
2005-03-26,Senegal,Liberia,Senegal,Moussa N'Diaye,75.0,False,False
2021-10-09,Lithuania,Bulgaria,Lithuania,Justas Lasickas,18.0,False,False
1989-06-14,Norway,Yugoslavia,Yugoslavia,Zlatko Vujović,86.0,False,False
1966-07-23,North Korea,Portugal,Portugal,Eusébio,59.0,False,True
2019-06-07,Denmark,Republic of Ireland,Denmark,Pierre-Emile Højbjerg,76.0,False,False
2010-09-03,Liechtenstein,Spain,Spain,Fernando Torres,18.0,False,False
2017-06-08,Australia,Saudi Arabia,Australia,Tomi Juric,7.0,False,False
1995-11-15,Cyprus,Belgium,Belgium,Gilles De Bilde,66.0,False,False
2016-10-10,Andorra,Switzerland,Andorra,Alexandre Martínez Palau,90.0,False,False
2010-09-07,Austria,Kazakhstan,Austria,Erwin Hoffer,90.0,False,False
1937-06-16,Sweden,Finland,Sweden,Lennart Bunke,60.0,False,False
1963-06-29,Denmark,Albania,Denmark,Ole Madsen,25.0,False,False
1993-01-17,Benin,Tunisia,Tunisia,Lotfi Rouissi,18.0,False,False
2017-10-06,United States,Panama,United States,Christian Pulisic,8.0,False,False
1989-06-03,Nepal,South Korea,South Korea,Park Kyung-Hoon,41.0,False,False
1997-06-09,Maldives,Syria,Syria,Bayazir al-Said,87.0,False,False
2010-09-07,Germany,Azerbaijan,Germany,Miroslav Klose,45.0,False,False
1953-03-01,Chile,Uruguay,Uruguay,Osvaldo Balseiro,81.0,False,False
1984-03-10,Ivory Coast,Cameroon,Cameroon,Roger Milla,42.0,False,False
2001-06-06,Sweden,Moldova,Sweden,Marcus Allbäck,77.0,False,False
2000-06-29,Ecuador,Peru,Ecuador,Cléber Chalá,14.0,False,False
1969-08-24,Brazil,Venezuela,Brazil,Pelé,69.0,False,False
2021-06-03,Thailand,Indonesia,Indonesia,Evan Dimas,60.0,False,False
2018-06-22,Nigeria,Iceland,Nigeria,Ahmed Musa,75.0,False,False
1992-11-08,Jamaica,Bermuda,Jamaica,Hector Wright,75.0,False,True
2021-07-15,Haiti,Canada,Canada,Stephen Eustáquio,5.0,False,False
2002-06-11,Denmark,France,Denmark,Jon Dahl Tomasson,67.0,False,False
1967-04-15,England,Scotland,Scotland,Denis Law,27.0,False,False
2000-10-07,Cyprus,Netherlands,Netherlands,Clarence Seedorf,78.0,False,False
1972-11-01,Netherlands,Norway,Netherlands,Johan Neeskens,63.0,False,False
1991-10-09,Finland,Greece,Greece,Panagiotis Tsalouchidis,74.0,False,False
1976-10-27,Denmark,Cyprus,Denmark,Per Røntved,68.0,False,True
2001-04-16,Nepal,Macau,Nepal,Basanta Thapa,31.0,False,False
1954-03-31,Wales,Northern Ireland,Wales,John Charles,80.0,False,False
1978-06-21,Brazil,Poland,Brazil,Roberto Dinamite,63.0,False,False
2008-06-15,Equatorial Guinea,Nigeria,Nigeria,Joseph Yobo,5.0,False,False
2014-09-09,Azerbaijan,Bulgaria,Bulgaria,Iliyan Mitsanski,14.0,False,False
2021-10-11,Croatia,Slovakia,Slovakia,Ivan Schranz,20.0,False,False
2001-04-09,Australia,Tonga,Australia,Kevin Muscat,82.0,False,False
1991-03-27,Yugoslavia,Northern Ireland,Northern Ireland,Colin Hill,44.0,False,False
2011-01-17,Saudi Arabia,Japan,Japan,Shinji Okazaki,8.0,False,False
2021-10-09,Togo,Congo,Congo,Alaixys Romao,21.0,True,False
2000-05-07,Honduras,Panama,Honduras,Carlos Pavón,38.0,False,False
1959-03-29,Brazil,Paraguay,Brazil,Pelé,25.0,False,False
1981-08-14,Australia,Fiji,Australia,Gary Cole,67.0,False,False
1974-06-30,Argentina,Brazil,Brazil,Jairzinho,49.0,False,False
2001-04-16,Australia,Samoa,Australia,Archie Thompson,88.0,False,False
2021-03-30,Slovakia,Russia,Slovakia,Milan Škriniar,38.0,False,False
1999-07-25,Mexico,Saudi Arabia,Saudi Arabia,Nawaf Al-Temyat,62.0,False,True
